battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1010,1,1.3,0,14,1,16,0.8,197,5,6,992,1708,3332,13,12,2,1,0,0,2
1999,1,2.0,0,2,0,47,0.8,167,6,19,1420,1577,1476,16,4,15,0,1,0,2
1199,1,1.4,0,18,0,30,0.9,127,2,15,922,536,302,6,6,16,0,1,1,0
1475,0,2.0,0,12,1,51,0.3,187,8,3,401,1512,3879,11,9,13,1,0,0,3
689,1,2.3,0,11,1,49,0.2,112,5,4,273,1793,889,10,10,13,0,1,0,0
1457,1,2.2,0,19,1,53,0.5,184,3,15,844,1362,3974,11,2,7,1,0,0,3
1186,1,1.4,1,0,1,23,0.6,192,8,8,1933,1231,1419,16,12,14,1,0,0,1
1457,1,0.9,1,20,1,5,0.8,153,6,16,138,1751,1944,8,1,17,1,1,1,2
1062,1,1.6,0,16,1,58,0.5,161,3,18,102,1951,1819,13,3,15,0,0,1,1
1767,0,0.9,0,12,1,53,0.6,98,5,2,1265,1309,1706,11,2,8,0,1,0,2
1331,0,2.7,0,0,1,7,0.6,150,2,10,1140,1524,844,6,14,17,0,1,0,1
1654,0,1.4,1,9,0,39,0.1,136,3,15,1237,522,3888,17,3,10,0,1,1,3
1146,1,0.9,1,14,0,27,0.7,98,4,17,483,1971,2133,8,3,15,1,0,0,1
520,0,0.6,0,6,0,12,0.8,167,6,14,528,1295,2613,9,14,8,1,1,0,1
1340,0,2.1,1,17,0,27,0.2,158,5,7,1714,995,2577,6,5,13,1,0,1,2
666,1,2.1,0,15,1,18,0.6,120,2,2,223,1399,1818,14,4,4,0,1,1,1
1797,1,1.4,0,13,0,25,0.6,121,4,5,1293,924,1095,12,11,15,1,0,0,1
887,1,0.7,0,17,1,29,0.2,166,5,4,1848,1199,1669,5,6,20,0,0,0,1
1100,0,1.5,0,6,0,36,0.2,131,8,18,1884,517,2762,19,2,12,1,0,1,2
815,0,1.3,1,16,1,32,1.0,195,7,3,1157,1968,988,7,6,6,1,0,1,0
513,1,2.2,1,17,1,14,0.5,83,2,20,113,1126,3961,19,11,14,1,0,1,2
741,1,2.0,0,11,0,55,0.3,181,4,9,1464,1562,2664,18,14,11,0,1,0,1
1276,0,1.4,1,7,0,36,0.3,83,3,16,643,1733,1273,5,18,8,1,0,0,1
1869,0,1.0,1,1,1,17,0.7,84,5,7,650,710,3396,19,5,18,1,1,0,3
1064,1,3.0,0,6,1,16,0.6,120,5,3,1388,1064,3910,9,7,17,0,1,1,3
1397,1,1.6,1,3,1,44,0.7,187,3,16,1255,1471,2965,12,5,9,1,1,0,2
1863,0,2.2,0,17,0,19,0.2,166,7,13,457,1804,3002,11,2,18,1,1,1,3
591,1,0.9,0,5,0,48,0.9,183,1,4,374,632,1710,13,4,14,0,0,0,1
1890,0,1.7,0,8,1,38,0.5,196,4,11,1627,948,3188,6,8,12,0,1,1,3
1455,0,0.6,0,8,0,49,0.4,180,3,15,1802,763,1013,16,15,19,0,1,0,1
1978,0,1.8,1,13,1,63,0.5,140,8,15,610,610,3359,12,15,6,0,1,1,3
1951,0,2.9,0,7,0,49,0.5,154,5,4,206,1349,2258,12,8,7,1,1,1,2
1008,1,1.5,1,18,0,50,0.9,134,8,2,1543,1761,876,18,17,15,1,1,1,0
1275,1,0.6,0,2,0,42,0.9,154,4,2,1491,1980,2144,10,12,13,0,1,1,2
534,0,0.6,0,17,0,28,0.4,92,7,3,1905,1400,3840,7,10,5,1,0,0,2
705,0,1.5,1,4,0,56,0.9,93,4,20,1466,1258,437,6,9,8,1,0,1,0
1604,0,0.9,0,13,1,36,0.8,139,8,11,916,1360,2989,18,9,12,0,0,0,2
1911,0,0.6,1,3,1,53,0.9,151,8,5,320,1396,2984,12,5,3,1,1,0,3
1525,0,2.4,1,6,0,46,0.3,104,1,5,92,1361,2551,10,15,5,1,1,1,2
1521,1,1.6,0,19,1,55,0.6,161,5,14,1431,1696,2923,8,11,8,1,1,1,2
1913,1,1.2,0,11,1,36,0.3,194,2,10,1181,692,1576,9,3,2,0,0,0,2
1065,1,2.8,0,1,0,29,0.8,123,1,8,871,1014,2055,9,4,16,1,1,0,1
1629,1,0.8,0,10,1,40,0.1,187,1,17,98,1289,2333,17,1,9,1,1,0,2
2000,0,2.9,0,13,0,62,0.6,161,2,19,224,1467,1581,13,18,6,1,0,0,2
1202,0,1.3,0,15,1,39,0.4,89,2,4,851,1932,1755,17,0,15,0,1,0,1
901,0,2.7,1,19,1,10,0.4,150,7,11,440,583,3176,17,3,19,0,0,0,2
1229,0,2.0,1,5,1,13,0.7,129,7,17,719,1297,1203,13,11,4,1,1,0,1
661,0,2.6,0,3,1,16,0.9,123,1,4,584,579,1631,12,1,3,1,1,1,1
701,1,3.0,1,14,1,22,0.6,93,4,12,1424,1732,1240,12,11,17,0,1,0,0
1495,0,1.2,1,0,1,53,0.9,94,3,11,1594,1021,3809,16,15,15,0,0,0,3
769,1,2.9,0,6,1,36,0.3,95,3,17,1822,1722,2620,6,1,17,0,1,1,1
1315,1,1.5,0,11,0,43,0.6,81,1,9,63,733,3040,18,16,12,0,0,0,2
1794,1,1.5,1,9,0,34,0.5,109,4,10,767,743,1676,7,1,18,1,1,0,2
955,1,1.4,0,4,0,52,0.1,109,2,16,559,1916,3416,18,3,4,0,0,1,2
1985,0,1.9,1,11,0,20,0.6,161,6,4,1302,1969,3561,12,5,6,0,1,0,3
1775,1,0.9,0,17,1,56,0.7,110,1,5,1733,1348,2471,17,6,4,0,0,0,2
1516,1,1.9,1,9,1,24,0.6,187,5,14,669,892,3046,9,14,16,0,0,1,2
795,1,1.9,1,5,1,14,0.8,191,4,13,1846,508,381,11,11,6,1,1,1,0
1219,0,2.4,1,11,0,64,0.6,156,5,10,1542,1112,2876,18,4,4,1,0,0,2
837,0,2.6,1,6,0,45,0.2,99,5,15,1271,1306,375,12,13,7,1,0,1,0
1378,0,1.6,0,17,0,2,0.2,128,1,20,367,1214,1707,10,15,15,1,0,1,1
1576,1,1.3,0,1,1,52,0.6,193,4,8,743,1676,1264,19,10,3,0,1,0,1
1291,1,1.1,1,9,0,30,0.3,114,5,17,617,609,1469,9,11,19,1,0,1,1
716,0,1.0,1,14,1,25,0.2,102,7,6,1005,1333,3960,12,18,7,1,1,1,2
1263,1,0.6,0,11,0,17,0.5,185,8,11,1121,765,1707,5,16,6,0,0,0,1
687,0,1.4,0,16,1,26,0.6,176,7,19,1291,1896,2863,5,6,15,1,0,0,2
879,0,1.2,1,3,0,56,0.4,181,4,12,1083,1675,3529,5,8,18,1,0,1,2
992,1,2.9,1,6,1,24,0.7,178,3,8,499,1475,3386,7,13,12,1,0,1,2
1564,1,1.9,1,8,0,29,0.7,194,8,15,1331,1454,952,14,11,2,0,1,0,1
1680,1,1.4,1,18,0,48,0.4,179,6,19,1516,1938,2526,17,14,11,0,1,0,2
514,1,2.0,1,6,1,17,0.8,140,5,12,1006,1406,1771,16,11,10,0,0,1,1
564,0,0.8,0,1,1,44,0.7,163,5,13,410,1849,1290,10,12,13,1,1,0,0
1020,0,1.6,1,5,0,57,0.7,134,4,19,1017,1171,3096,10,8,2,0,1,0,2
1867,0,2.1,0,17,1,39,0.6,146,7,3,1163,675,1791,9,6,19,0,0,1,2
1652,0,1.7,0,5,0,12,0.1,87,6,2,1932,1024,1069,17,0,13,1,0,1,1
1147,0,1.5,0,12,1,4,0.7,119,3,11,1351,1838,565,17,9,3,0,0,0,0
1995,1,3.0,1,18,0,16,0.4,138,5,2,463,1590,1267,18,5,2,1,0,0,1
1586,0,2.7,0,1,1,2,0.9,111,1,7,701,1451,3052,11,14,2,1,0,1,2
1662,0,2.1,0,11,0,8,0.8,172,7,8,1660,1707,1313,9,14,2,0,0,0,1
1092,0,1.9,0,14,0,2,0.6,86,4,18,1948,1558,1274,18,8,13,1,1,1,1
891,1,2.1,0,13,0,50,0.3,81,4,10,162,1004,3667,6,12,8,1,0,0,2
918,1,1.0,1,5,1,33,0.3,164,7,8,59,1348,3974,8,0,5,1,0,0,3
788,1,1.5,1,17,0,10,0.4,85,5,18,1948,1462,2784,5,8,5,0,0,0,2
878,1,0.6,0,4,1,30,0.5,171,3,4,1054,1599,2877,11,2,16,1,1,1,2
730,0,1.7,0,17,1,27,0.4,191,5,17,332,971,1080,8,8,2,0,0,1,0
1517,0,1.9,1,2,1,24,0.6,185,7,6,75,1022,2300,17,14,7,0,1,0,2
540,1,1.1,1,2,0,46,0.2,115,8,19,1778,1379,1372,8,6,15,1,1,0,0
1551,1,2.9,1,9,1,44,1.0,111,2,2,316,1806,883,17,3,15,1,1,1,1
634,0,2.8,0,18,1,30,0.2,124,5,5,1793,773,1412,8,16,11,1,0,1,0
700,0,2.3,1,2,1,53,0.9,121,6,12,1440,553,3147,7,3,8,1,1,0,2
1279,1,1.8,0,11,0,39,0.9,132,8,10,189,1578,1244,12,18,13,1,0,1,1
1429,1,2.7,0,15,1,34,0.6,189,7,9,1512,1387,2722,8,4,20,0,0,1,2
1556,1,0.8,1,16,1,8,0.8,88,8,9,1912,1244,1747,12,15,10,0,0,0,1
1571,1,2.5,0,6,1,13,0.5,154,6,6,1338,776,2084,13,2,4,1,0,0,2
1002,0,0.8,1,12,1,32,0.7,166,8,13,295,1966,3771,5,10,5,0,1,1,3
906,0,2.5,0,1,0,33,0.4,193,8,2,500,1382,2333,19,14,14,0,0,1,1
1304,0,1.2,1,3,0,55,0.4,154,7,16,176,1941,2248,8,18,11,0,1,0,2
598,1,2.7,0,9,1,21,0.6,128,2,19,799,1131,2601,10,13,15,1,1,1,1
1183,1,2.9,0,6,1,56,0.5,81,6,7,805,1748,1340,12,15,7,0,0,0,1
1225,0,0.9,1,16,1,52,0.6,146,6,11,859,1069,2761,18,5,9,0,0,0,2
1460,0,1.7,1,19,1,18,0.4,90,1,15,1742,1778,2607,10,4,20,0,1,1,2
1112,0,3.0,1,5,0,37,0.4,129,4,9,214,675,3261,16,16,11,1,1,0,2
1985,0,1.7,1,18,0,4,0.2,114,6,4,1879,1065,595,10,15,6,0,0,0,1
1142,1,2.7,0,4,0,2,0.1,94,4,20,652,1669,2751,14,1,6,1,0,0,2
1528,0,2.0,1,9,0,51,0.3,186,7,13,596,1270,2115,8,10,6,0,0,0,2
1741,0,1.4,1,8,1,28,0.2,154,3,13,1717,1908,1581,13,3,10,1,1,0,1
1002,0,1.2,0,12,1,54,0.2,110,5,16,1355,761,3184,11,5,10,0,0,1,2
1266,0,1.0,1,18,0,48,0.8,171,1,8,127,1030,2843,18,6,16,1,0,0,2
897,0,2.4,1,20,0,41,0.1,141,7,5,1292,1894,2788,15,16,10,0,0,0,2
1370,0,1.5,0,5,1,34,0.7,107,2,10,550,1390,332,10,7,15,1,0,0,0
1294,0,1.8,1,3,1,21,0.3,175,3,17,1558,1720,1912,5,0,7,1,1,1,1
892,1,1.7,1,2,1,15,0.9,104,8,14,1777,1447,2818,6,14,9,0,1,0,2
706,1,1.9,1,2,1,37,0.5,163,1,5,1389,1084,1828,16,11,3,0,0,0,1
1538,1,2.7,1,3,1,6,0.4,171,1,10,618,1314,3247,10,14,6,1,1,0,3
1391,1,3.0,1,4,0,24,0.6,104,7,19,347,1807,2962,15,14,18,1,0,0,2
1984,0,1.5,1,7,0,46,0.4,154,2,16,141,801,347,19,8,11,0,1,1,1
1363,1,2.6,0,15,1,61,0.6,162,2,16,1168,1655,2130,5,15,15,1,1,1,2
1242,1,2.4,1,2,1,57,0.2,171,4,7,791,1643,721,19,1,19,0,0,0,0
1764,0,1.9,0,11,0,16,1.0,80,5,12,244,1659,2769,19,14,2,0,0,1,2
1063,0,2.9,0,7,1,7,0.5,138,7,9,1465,1127,3926,15,14,3,1,0,1,3
1520,1,1.0,0,12,0,34,0.4,148,3,18,702,1072,3367,9,6,5,0,0,1,3
595,1,0.8,0,3,0,56,0.7,153,5,18,1313,1028,2993,5,12,14,1,1,0,2
984,0,2.6,1,13,0,20,0.4,121,3,19,1714,533,1608,17,16,17,0,0,0,1
1930,1,1.6,1,13,0,64,0.8,189,1,5,1135,1031,1564,7,10,6,0,0,0,2
730,0,2.6,1,12,1,14,0.5,113,6,16,213,1731,1202,16,9,11,0,0,0,0
1248,0,2.7,0,5,1,30,0.7,179,6,3,1673,1822,809,16,0,18,0,0,0,1
1694,0,0.7,1,16,0,62,0.2,145,7,3,1909,1617,3393,16,13,12,0,0,0,3
1040,0,2.7,1,3,1,7,0.9,97,2,11,199,1937,3963,11,4,6,0,0,1,3
1559,1,1.6,1,7,1,16,0.8,156,2,4,404,870,3984,9,7,16,0,1,1,3
1024,0,1.8,0,16,1,17,0.3,194,8,9,420,908,2296,19,0,5,0,0,1,1
1683,0,2.1,0,2,1,25,0.2,84,1,8,6,1906,3959,16,6,8,0,1,1,3
1766,1,2.8,1,16,0,24,0.4,99,1,13,1881,1964,2412,19,1,11,0,0,1,2
1609,0,0.5,0,8,1,49,1.0,145,3,20,1548,1970,3742,14,6,5,0,1,0,3
1077,1,1.7,0,1,0,11,0.3,154,1,16,591,1116,347,5,6,6,0,1,0,0
1181,1,2.2,1,12,0,55,0.5,141,8,15,285,570,1258,5,8,6,1,1,1,1
1056,1,2.3,0,19,1,42,0.1,173,7,17,670,583,623,19,3,12,1,0,0,0
1512,0,2.2,0,1,0,42,0.5,175,3,15,388,708,1075,12,6,20,0,1,0,1
1145,1,0.8,1,19,1,50,0.6,111,5,4,415,758,678,15,17,6,0,0,0,0
1295,1,1.2,0,10,1,18,1.0,137,2,19,783,1762,827,18,12,9,1,1,0,1
1551,0,1.4,0,14,0,50,0.6,129,2,7,1006,1825,3165,17,10,8,0,0,0,3
1863,1,2.5,0,10,1,57,0.8,117,6,18,1736,1755,1519,13,8,9,0,0,1,2
1854,1,1.2,0,2,0,45,0.6,134,6,15,1173,1431,690,11,13,14,0,1,1,1
1871,1,1.0,0,2,0,46,0.1,107,8,15,1014,781,2515,17,7,6,1,0,1,2
1996,1,2.9,0,11,1,31,0.4,153,7,14,427,893,1679,7,13,19,0,1,0,2
1754,1,0.5,0,4,1,45,0.6,165,2,4,1831,917,1889,16,16,10,1,1,0,2
689,0,3.0,0,19,1,47,1.0,198,8,14,1004,1729,2829,10,13,3,1,0,0,2
1748,1,2.2,1,6,0,11,0.9,160,7,3,1316,1787,2009,7,4,17,0,1,0,2
1908,1,2.6,1,6,1,56,0.3,101,5,10,333,1834,723,14,9,15,1,0,1,1
1900,0,1.2,1,12,0,20,0.3,122,5,14,271,1358,1449,8,5,18,1,1,0,2
1806,0,0.5,1,8,0,30,0.3,162,4,9,1066,1125,2098,16,9,7,1,0,1,2
1132,0,2.3,0,20,1,3,0.9,160,3,17,1491,1602,1047,8,10,4,0,0,1,1
1127,1,2.6,1,12,1,37,0.9,167,6,4,318,1865,3178,7,5,18,0,0,1,2
1472,0,2.4,1,11,1,20,0.8,115,3,14,1515,1061,2513,14,9,14,1,1,1,2
1782,1,0.9,0,12,0,8,0.5,175,6,5,526,1331,2559,10,13,7,0,0,0,2
1882,1,2.4,0,9,1,27,0.6,199,4,19,759,1618,1962,9,2,9,1,0,0,2
1209,0,2.4,0,0,0,16,0.5,189,2,3,1195,1440,328,15,6,7,0,0,1,0
1979,0,2.1,0,7,1,48,0.3,131,8,16,1753,1874,402,13,1,17,0,0,0,1
1934,1,2.4,0,15,1,57,0.6,115,7,18,1672,561,3667,13,6,7,1,0,0,3
1148,0,2.6,1,12,0,39,0.1,107,3,11,320,1665,572,7,16,18,0,0,0,0
817,1,2.0,0,2,0,4,0.2,157,6,2,738,1233,3945,17,12,4,1,0,1,3
1748,0,0.7,1,2,1,39,0.9,137,3,7,1067,1634,861,13,8,13,0,0,1,1
1757,0,1.7,1,4,1,64,0.8,115,2,4,1555,1281,830,17,12,7,1,0,1,1
1183,0,0.7,0,10,1,17,0.5,149,7,20,1654,1680,1433,16,14,8,0,1,1,1
1163,1,1.5,1,6,1,3,0.6,88,1,8,453,1038,3582,7,12,12,1,0,1,3
1897,0,1.5,1,20,1,32,0.4,100,6,14,745,1096,3678,8,16,10,0,0,1,3
1995,1,0.7,0,9,0,29,0.8,143,8,14,1903,508,2850,5,7,17,0,0,1,3
1756,1,1.4,1,9,0,8,0.8,155,1,18,1914,775,3138,9,8,6,1,1,0,3
1636,1,0.8,1,19,0,31,0.8,140,4,2,928,726,567,16,8,16,0,0,1,1
941,1,2.5,1,1,0,44,0.8,173,7,15,847,685,3111,13,7,5,1,0,0,2
1063,0,2.9,0,2,1,59,0.3,174,5,4,867,1090,1020,19,15,6,0,1,1,1
1791,1,0.7,0,7,0,63,0.4,119,3,15,773,1739,3996,6,6,8,1,1,0,3
1909,1,2.9,0,10,0,8,0.5,135,6,2,82,932,2437,8,16,4,1,1,0,2
1910,0,1.8,1,12,0,37,0.4,83,8,17,542,1068,3251,14,6,5,1,0,0,3
1636,1,1.2,0,6,1,30,0.8,110,3,11,321,1155,3456,6,5,16,1,0,0,3
1451,0,0.7,1,12,0,25,0.4,106,4,14,785,855,691,18,4,3,1,0,1,1
1604,1,1.8,0,1,1,53,0.2,137,4,5,1257,1342,3607,12,16,6,1,0,1,3
1198,0,2.5,1,5,0,40,0.5,200,3,10,539,891,613,13,7,8,1,1,1,0
612,1,2.3,0,8,1,5,1.0,104,6,15,251,1078,3233,7,0,18,1,1,1,2
501,0,0.6,0,19,0,30,0.3,148,8,5,835,1798,3186,17,15,9,0,0,1,2
1141,1,0.7,1,1,1,45,0.7,149,7,11,1788,1974,2555,19,16,10,0,1,1,2
719,1,1.5,0,17,0,6,0.5,84,2,9,448,919,390,13,2,11,0,0,1,0
1354,0,1.2,1,15,1,56,0.2,194,7,4,1262,663,778,10,12,12,0,0,1,1
1748,0,1.1,0,11,1,30,0.5,170,2,8,489,1278,1059,10,7,2,1,0,1,1
884,0,1.2,0,6,0,63,0.7,87,8,11,1905,1137,2963,11,15,16,1,0,1,2
1926,0,2.5,1,6,1,31,0.6,88,5,4,463,1706,2622,16,6,9,0,1,1,2
1653,1,2.8,1,16,1,30,0.9,94,7,3,313,1833,335,9,14,20,0,1,0,0
1576,1,1.5,1,12,0,27,0.4,179,8,16,1198,516,3518,10,1,13,1,0,0,3
1229,0,2.8,0,10,0,20,0.2,200,3,10,1729,945,1732,15,1,7,0,0,0,1
1939,1,1.3,1,5,1,27,0.9,184,3,16,1203,669,3671,5,9,11,1,1,0,3
746,0,1.7,0,13,0,38,0.4,86,6,18,1955,1803,3357,7,4,6,0,1,0,2
1335,0,1.1,1,5,0,28,0.6,175,3,8,384,839,2717,16,3,8,1,0,1,2
1962,1,2.1,1,5,0,31,0.8,151,6,19,294,1225,2296,13,14,8,1,1,1,2
702,1,2.9,1,1,1,52,0.4,190,8,16,1238,1534,623,16,12,10,0,1,0,0
1707,1,2.0,1,19,1,54,0.7,194,3,19,985,632,1262,9,16,16,0,1,1,1
622,1,1.4,1,14,1,31,0.2,94,4,13,1738,1400,1248,9,0,7,1,0,0,0
900,1,2.1,1,16,1,4,0.4,116,1,9,761,1139,851,12,17,17,0,1,1,0
1266,1,0.8,0,7,1,60,0.2,162,8,3,1897,1671,3829,15,14,8,0,1,1,3
793,1,2.7,1,4,1,59,0.8,118,3,3,768,1322,3989,15,13,16,1,1,0,3
779,0,1.8,0,16,1,44,0.3,85,1,6,1098,1453,2152,17,8,3,0,1,0,1
1383,0,1.6,1,19,0,8,0.7,162,2,2,343,578,3321,6,11,9,0,1,0,2
697,0,2.0,1,0,1,62,0.9,136,5,5,1737,845,3004,17,4,13,1,0,1,2
1481,0,2.1,1,17,1,50,0.6,171,7,7,141,1108,1300,11,1,12,1,1,0,1
1251,0,0.7,0,14,0,58,0.6,160,7,14,717,1772,2852,13,6,7,1,1,1,2
643,1,2.2,0,4,0,10,0.5,185,8,20,1222,1138,2549,11,8,14,0,1,1,1
1108,0,1.1,1,6,0,54,0.4,98,2,12,1942,1547,2586,16,17,17,1,1,1,2
1724,0,2.3,0,17,1,42,0.5,142,3,14,1194,1994,2917,9,3,9,0,0,1,2
1647,0,2.6,1,5,0,43,0.6,110,7,9,405,1724,3234,17,1,18,0,0,0,3
686,0,2.5,1,20,1,14,1.0,154,6,8,1851,630,3109,10,0,14,0,0,0,2
1849,0,1.9,0,4,1,16,0.9,158,2,14,227,855,2535,8,11,5,0,1,0,2
963,0,1.8,0,18,1,55,0.9,89,4,2,410,1443,2619,18,12,11,1,1,0,2
1872,0,0.9,0,9,0,64,0.9,186,1,7,951,649,3141,16,13,17,0,0,1,3
1159,1,2.4,0,14,0,6,0.5,166,6,8,897,1827,2079,11,4,18,0,0,0,1
1263,1,1.2,1,9,1,30,0.7,146,7,17,1958,549,3663,5,2,9,0,0,0,3
1454,0,1.7,0,15,1,36,0.9,141,6,16,690,963,2267,8,3,12,1,0,0,2
902,1,1.2,0,11,1,28,0.5,82,3,3,877,1763,2255,7,16,6,1,0,0,1
1869,1,0.8,1,17,0,28,1.0,97,4,17,786,954,666,17,18,17,1,0,1,1
646,1,2.1,0,0,1,9,0.5,104,1,18,61,1806,2548,8,10,9,0,1,1,1
1671,1,0.6,0,15,0,33,0.6,186,4,16,1350,834,642,5,7,17,0,1,1,1
1363,0,2.4,0,5,1,21,0.7,99,2,4,1739,1875,2992,16,11,5,1,0,1,2
988,1,1.3,0,2,0,11,1.0,137,3,5,878,1167,2004,17,17,7,1,1,0,1
1428,1,0.5,1,1,1,14,0.3,172,6,13,1156,826,2661,6,17,9,0,1,1,2
1050,1,1.8,1,1,0,64,0.8,165,6,6,1607,1515,1277,16,8,10,1,0,0,1
837,0,0.6,0,12,0,30,0.6,129,2,18,1613,835,2917,15,4,14,0,0,0,2
1371,0,1.2,0,8,0,36,0.3,200,6,7,1212,1165,3101,17,16,18,1,1,0,2
1140,0,2.3,1,15,0,62,0.8,158,5,11,355,1494,2325,13,12,10,0,1,0,2
972,0,0.7,0,4,0,55,0.6,182,3,19,70,580,274,19,5,14,0,1,1,0
650,0,2.6,0,20,0,9,0.7,89,2,11,262,586,3614,11,13,10,0,0,1,2
1938,0,0.5,0,6,1,30,0.4,100,3,7,305,757,531,17,14,7,1,1,0,1
1821,0,1.1,0,12,1,32,0.5,198,1,7,557,1490,914,10,13,11,1,0,1,1
762,1,2.4,0,19,1,42,0.7,195,3,16,1247,684,3201,6,3,6,0,0,1,2
643,1,1.3,0,12,1,31,0.5,108,3,5,1351,1197,807,5,17,8,1,1,0,0
845,1,0.8,0,6,0,23,0.3,175,1,17,761,622,934,6,0,12,0,0,0,0
1123,0,1.4,0,9,1,22,1.0,89,2,9,587,1619,858,11,11,10,1,0,1,0
1516,0,1.2,0,14,0,13,0.6,92,3,8,73,1104,3399,6,8,11,1,0,0,3
1380,0,2.6,1,20,0,12,0.8,126,4,20,1534,1014,620,7,9,12,0,1,1,0
501,0,1.3,1,5,0,3,0.5,102,3,18,141,1403,2229,12,17,4,1,1,0,1
1396,0,2.5,1,4,1,51,0.4,129,2,14,1608,1966,1050,11,16,9,1,1,0,1
1827,1,2.7,0,1,0,42,0.5,166,8,16,101,1894,1614,16,18,18,0,0,0,2
753,1,1.6,0,20,1,3,0.5,174,6,3,1629,804,2955,15,3,8,0,1,0,2
952,0,2.8,1,14,1,35,0.6,83,7,11,1604,1880,2030,15,15,13,0,0,1,1
1560,0,1.4,0,15,1,4,0.6,195,1,14,1088,1671,845,18,6,17,0,1,1,1
1683,0,2.9,1,18,1,17,0.5,192,6,19,192,1808,454,15,8,16,1,0,1,1
1514,0,0.7,0,8,1,52,0.2,146,2,12,952,1156,2320,13,7,14,1,1,1,2
508,1,2.2,1,18,0,5,0.5,164,5,14,1085,761,473,16,6,19,0,1,0,0
1756,0,1.7,1,6,0,24,0.3,132,7,20,1555,990,996,8,9,19,1,0,0,1
1622,0,1.5,1,3,1,58,0.2,81,6,6,1264,1237,905,11,7,6,0,0,1,1
1315,0,2.1,0,2,0,51,0.9,147,3,4,1738,1554,2450,5,16,15,0,1,1,2
707,0,2.3,1,19,1,21,0.6,144,7,20,409,1201,3537,15,11,12,0,1,1,2
